text,label
shop có váy không ?,1
shop có quần không ?,1
shop có áo thun không ?,1
shop có quần không ?,1
shop có quần không ?,1
shop có áo sơ_mi không ?,1
shop có áo không ?,1
shop có áo không ?,1
shop có áo không ?,1
shop có áo không ?,1
shop có áo không ?,1
shop có quần_bò không ?,1
shop có váy không ?,1
shop có quần không ?,1
shop có váy không ?,1
shop có áo không ?,1
shop có áo sơ_mi không ?,1
shop có áo sơ_mi không ?,1
shop có quần không ?,1
shop có quần_bò không ?,1
shop có quần không ?,1
shop có quần_bò không ?,1
shop có áo không ?,1
shop có quần_bò không ?,1
shop có áo không ?,1
shop có quần không ?,1
shop có váy không ?,1
shop có áo thun không ?,1
shop có quần_bò không ?,1
shop có áo không ?,1
shop có quần_bò không ?,1
shop có áo sơ_mi không ?,1
shop có áo thun không ?,1
shop có áo thun không ?,1
shop có áo thun không ?,1
shop có váy không ?,1
shop có quần_bò không ?,1
shop có áo sơ_mi không ?,1
shop có quần_bò không ?,1
shop có áo sơ_mi không ?,1
shop có quần_bò không ?,1
shop có áo sơ_mi không ?,1
shop có quần_bò không ?,1
shop có váy không ?,1
shop có quần_bò không ?,1
shop có áo không ?,1
shop có váy không ?,1
shop có áo thun không ?,1
shop có quần_bò không ?,1
shop có áo sơ_mi không ?,1
shop có quần_bò không ?,1
shop có quần_bò không ?,1
shop có áo không ?,1
shop có áo không ?,1
shop có áo không ?,1
shop có váy không ?,1
shop có quần không ?,1
shop có quần_bò không ?,1
shop có váy không ?,1
shop có quần không ?,1
shop có áo không ?,1
shop có áo sơ_mi không ?,1
shop có quần không ?,1
shop có váy không ?,1
shop có áo sơ_mi không ?,1
shop có váy không ?,1
shop có quần_bò không ?,1
shop có áo thun không ?,1
shop có áo sơ_mi không ?,1
shop có áo không ?,1
shop có quần không ?,1
shop có quần_bò không ?,1
shop có áo thun không ?,1
shop có quần không ?,1
shop có váy không ?,1
shop có váy không ?,1
shop có áo không ?,1
shop có áo sơ_mi không ?,1
shop có váy không ?,1
shop có váy không ?,1
shop có quần_bò không ?,1
shop có áo không ?,1
shop có quần không ?,1
shop có áo sơ_mi không ?,1
shop có áo không ?,1
shop có quần_bò không ?,1
shop có áo không ?,1
shop có áo sơ_mi không ?,1
shop có quần_bò không ?,1
shop có áo không ?,1
shop có váy không ?,1
shop có váy không ?,1
shop có áo không ?,1
shop có váy không ?,1
shop có áo sơ_mi không ?,1
shop có áo thun không ?,1
shop có áo thun không ?,1
shop có quần không ?,1
shop có quần_bò không ?,1
shop có áo sơ_mi không ?,1
shop có áo sơ_mi không ?,1
shop có váy không ?,1
shop có quần_bò không ?,1
shop có váy không ?,1
shop có quần_bò không ?,1
shop có váy không ?,1
shop có áo không ?,1
shop có áo thun không ?,1
shop có áo thun không ?,1
shop có áo không ?,1
shop có váy không ?,1
shop có váy không ?,1
shop có áo không ?,1
shop có váy không ?,1
shop có áo không ?,1
shop có quần không ?,1
shop có áo không ?,1
shop có áo không ?,1
shop có áo thun không ?,1
shop có áo thun không ?,1
shop có quần không ?,1
shop có áo không ?,1
shop có áo thun không ?,1
shop có quần không ?,1
shop có áo không ?,1
shop có áo thun không ?,1
shop có quần_bò không ?,1
shop có áo thun không ?,1
shop có váy không ?,1
shop có váy không ?,1
shop có quần không ?,1
shop có quần_bò không ?,1
shop có áo không ?,1
shop có quần không ?,1
shop có quần_bò không ?,1
shop có váy không ?,1
shop có quần_bò không ?,1
shop có áo không ?,1
shop có quần không ?,1
shop có quần_bò không ?,1
shop có áo thun không ?,1
shop có áo không ?,1
shop có quần_bò không ?,1
shop có áo không ?,1
shop có áo không ?,1
shop có áo không ?,1
shop có váy không ?,1
shop có quần không ?,1
shop có áo không ?,1
shop có quần_bò không ?,1
mình muốn mua quần_bò giá_cả thế_nào,1
mình muốn mua quần_bò giá_cả thế_nào,1
